recipient_uei,IHE,recipient_name,recipient_name_raw,recipient_parent_name,recipient_parent_uei,recipient_city_name,recipient_state_code,prime_award_base_transaction_description,total_obligated_amount,period_of_performance_start_date,period_of_performance_end_date,period_of_performance_potential_end_date,primary_place_of_performance_country_name,generated_unique_award_id,award_type
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,DURHAM,NC,LAC REGIONAL FUND TO EXPAND INCLUSIVE ACCESS TO QUALITY BASIC EDUCATION,2801239,9/30/24,9/29/29,NA,HONDURAS,ASST_NON_7200AA24CA00011_7200,COOPERATIVE AGREEMENT (B)
V2DWM1KMJNK5,N,INTERNATIONAL REPUBLICAN INSTITUTE,INTERNATIONAL REPUBLICAN INSTITUTE,INTERNATIONAL REPUBLICAN INSTITUTE,NA,WASHINGTON,DC,THE PURPOSE OF THE AWARD IS TO ISSUE A COOPERATIVE AGREEMENT,1252713,9/30/24,9/29/27,NA,UNITED STATES,ASST_NON_7200AA24CA00015_7200,COOPERATIVE AGREEMENT (B)
RB7UQ5B9DFK7,N,INSTITUTE FOR WAR AND PEACE REPORTING -US,INSTITUTE FOR WAR AND PEACE REPORTING -US,INSTITUTE FOR WAR AND PEACE REPORTING -US,RB7UQ5B9DFK7,WASHINGTON,DC,"THE PURPOSE OF THIS ACTIVITY IS TO EMPOWER INDEPENDENT JOURNALISTS AND OUTLETS TO DELIVER TRUSTWORTHY NEWS ESSENTIAL TO BUILDING RESILIENT, RIGHTS-RESPECTING DEMOCRACIES. THE ACTIVITY WILL COUNTER CORRUPTION AND PROPAGANDA BY BUILDING THE CAPACITY OF INDEPENDENT MEDIA AND FOSTERING CROSS-BORDER COLLABORATION AND LEARNING ACROSS THE REGION TO SHINE A LIGHT ON CORRUPT TACTICS AND RELATED PROPAGANDA NARRATIVES.",2641724,9/30/24,9/29/29,NA,COLOMBIA,ASST_NON_7200AA24CA00022_7200,COOPERATIVE AGREEMENT (B)
RB7UQ5B9DFK7,N,INSTITUTE FOR WAR AND PEACE REPORTING -US,INSTITUTE FOR WAR AND PEACE REPORTING -US,INSTITUTE FOR WAR AND PEACE REPORTING -US,RB7UQ5B9DFK7,WASHINGTON,DC,IPI/ID- MAZEEJ ACTIVITY:  INCREASE THE CAPACITY AND RESILIENCE OF CIVIL SOCIETY AND MEDIA TO CREATE NARRATIVES IN THE MIDDLE EAST AND NORTH AFRICA.,4100000,10/1/24,9/30/28,NA,LEBANON,ASST_NON_7200AA24CA00025_7200,COOPERATIVE AGREEMENT (B)
NVFNGVT1Z5C4,N,PROMOTING EQUALITY IN AFRICAN SCHOOLS (PEAS),PROMOTING EQUALITY IN AFRICAN SCHOOLS (PEAS),NA,NA,NA,NA,"QUALITY, INCLUSIVE SECONDARY EDUCATION FOR MILLIONS OF STUDENTS",1500000,11/1/24,10/31/27,NA,UGANDA,ASST_NON_7200AA24FA00013_7200,COOPERATIVE AGREEMENT (B)
LBN6BC1CMSN4,N,INTERNATIONAL WATER MANAGEMENT INSTITUTE,INTERNATIONAL WATER MANAGEMENT INSTITUTE,NA,NA,NA,NA,"THIS EFFORTS IS TO BUILD RESILIENCE TO INCREASING WATER SCARCITY, FRAGILITY, AND CLIMATE STRESSORS WITHIN THE MIDDLE EAST AND NORTH AFRICA REGION. THIS AGREEMENT ALLOWS FOR WORK ON A REGIONAL OR COUNTRY-SPECIFIC SCALE AND ADDRESSES THE VARIOUS WATER SECURITY AND ADAPTATION NEEDS IN THE MENA REGION.",666500,10/1/24,9/30/29,NA,SRI LANKA,ASST_NON_7200ME24IO00001_7200,"OTHER REIMBURSABLE, CONTINGENT, INTANGIBLE, OR INDIRECT FINANCIAL ASSISTANCE"
LZ4PMD8AJ2J7,N,EAST-WEST MANAGEMENT INSTITUTE INC,EAST-WEST MANAGEMENT INSTITUTE INC,NA,NA,NEW YORK,NY,"THE GOAL OF THE PROMOTING HUMAN RIGHTS IN ARMENIA ACTIVITY IS TO PROMOTE HUMAN RIGHTS AND FUNDAMENTAL FREEDOMS BY PREVENTING,  RESPONDING TO HUMAN RIGHTS VIOLATIONS AND ENHANCING RIGHTS PROTECTION.",3000000,10/31/24,10/30/29,NA,ARMENIA,ASST_NON_72011125CA00001_7200,COOPERATIVE AGREEMENT (B)
LZ4PMD8AJ2J7,N,EAST-WEST MANAGEMENT INSTITUTE INC,"EAST-WEST MANAGEMENT INSTITUTE, INC.",EAST-WEST MANAGEMENT INSTITUTE INC,LZ4PMD8AJ2J7,NEW YORK,NY,"THIS ACTIVITY'S GOAL IS TO STRENGTHEN FORMAL AND INFORMAL CITIZEN GROUPS (COMMUNITY-BASED ORGANIZATIONS), AND SUPPORT AND ENHANCE THEIR ROLE IN ADVANCING AZERBAIJAN'S SOCIAL AND ECONOMIC DEVELOPMENT WHILE INTRODUCING INNOVATIVE PARTICIPATORY PRACTICES AT THE LOCAL AND REGIONAL LEVELS.",2481025,10/1/21,9/30/26,NA,AZERBAIJAN,ASST_NON_72011221CA00002_7200,COOPERATIVE AGREEMENT (B)
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,ACHIEVING STUDENT CENTERED EDUCATION FOR A NEW TOMORROW (ASCENT),13619762,1/6/20,1/5/26,NA,GEORGIA,ASST_NON_72011420CA00001_7200,COOPERATIVE AGREEMENT (B)
LZ4PMD8AJ2J7,N,EAST-WEST MANAGEMENT INSTITUTE INC,"EAST-WEST MANAGEMENT INSTITUTE, INC.",EAST-WEST MANAGEMENT INSTITUTE INC,LZ4PMD8AJ2J7,NEW YORK,NY,"THE GOAL OF THE FIVE-YEAR, $15 MILLION CIVIL SOCIETY ENGAGEMENT ACTIVITY IS TO INCREASE CITIZEN ENGAGEMENT, AWARENESS AND PARTICIPATION IN CIVIC ACTIONS AND DEMOCRATIC PROCESSES. SPECIFICALLY, THE ACTIVITY WILL ENHANCE THE CAPACITY OF FORMAL AND INFORMAL CIVIC ENTITIES WORKING AT THE LOCAL, REGIONAL AND NATIONAL LEVEL TO ADDRESS CITIZEN IDENTIFIED ISSUES, THEREBY BUILDING THEIR LEGITIMACY AND INFLUENCE; FOSTER GREATER TRUST, CONNECTIVITY AND COLLABORATION BETWEEN NEWLY EMERGING GRASSROOTS GROUPS AND THEIR NATIONAL AND REGIONAL LEVEL COUNTERPARTS; AND ENHANCE THE LONG TERM SELF-RELIANCE OF THE CIVIL SOCIETY SECTOR BY DEVELOPING AN ECOSYSTEM FOR SUSTAINABILITY.",13927035,11/1/21,10/31/26,NA,GEORGIA,ASST_NON_72011421CA00003_7200,COOPERATIVE AGREEMENT (B)
